rank,address,amount
1,0x6fe05b23aafecc58420b644748b43a869e28e27c,391,
2,0xe9ebd9ae63dff66c06991267c064ba3861a229b3,377,
3,0xc5a4a7795fd52d7fcbe589d010e116f50bf0cba0,355,
4,0x1e9743811b56b970f81f038737fbd4891c72b506,353,
5,0x645605169bb78c90fd12584bf19dee881bc20a02,338,
6,0xa19cdce420da684f5dad6d3b2e8df2d9a2e41d20,10,
7,0x65fad3eb6a3ed9683034aaa350356c72a777da7e,10,
8,0x8fffe3e35bb98b2b9fcb104d600d81c0b0cc01c2,10,
9,0xefd65cea6eaa0ddc8e38f58a6086dfb185601394,7,
10,0xbfe627fef6a2aa93f695b32550e812a8e2e1b23b,7,
11,0x04de4e79961e5e9ccf5a3a7b834509174d7cb44d,5,
12,0x0845fa86a9484311dda2f99d960f5eb9679bc396,5,
13,0xa3bf22aa02e7d39fd3c83c78155b9e3dd65e52c8,5,
14,0x515710900f459aabf340e8921ad25a86b72e128a,5,
15,0x9c47644d6c4b7563b8f59560ffb46ecbead2296d,5,
16,0x1f5f93132448891d271419409a7aacaa374f36c7,5,
17,0x733967c11385417913f67f98dc554b5a861fc240,4,
18,0x0050a91cbe808f54c80a73e5baee2ce97e0f527f,4,
19,0x3ef724e22ef58617e00026b542e657b02bcb9c50,4,
20,0x1ccdf821c5d485551d5db17bb779046a9186d71b,4,
21,0xd577f0fd3758f5e9c35563f4303c5fe8b530b7c5,4,
22,0x62c9597315c21bc1d0207e60b6589c8fe63ab47f,3,
23,0xb63e845e0f6ebf2b0816af42ad2713fd6dd97d2e,3,
24,0x814b4bda60779ddb762fcd6249b55ce765ccfcea,3,
25,0x369aaccc5f7ad02f226569ec52cd240b4fe471a5,2,
26,0x0d2018a7613998f41d101759296896631cc206b6,2,
27,0x828d01e76c26ff46eda54a8ec5d13716cc2cd5b2,2,
28,0x7f85a8503ff7aee92d8ae7326bedc57a1bf0b2bf,2,
29,0xcb04c495da7d23da300270719d2c46a45e631ae1,2,
30,0xd0c22de237af977809972cdec294bc00c46ab7ac,2,
31,0x39db6dee806fb0756b1451b74e448ba2667d7b5a,2,
32,0xe087bafde487bc9159639bab264dbe19df6c7c7f,2,
33,0xe2b8782b9886e0daa87782ccf51d1a548017fac6,2,
34,0xed69d98bebf372ddf709682b1e14f9117aeee6e3,2,
35,0xee17ea70aed5dfd61dc684900ea5f1b0f1accf9d,2,
36,0x41a8e9f1ca50f3467ea5ca2331e24ed5f3c38ac4,1,
37,0x48ed3e12efb3c865d77c1ca244234574cdf84e46,1,
38,0x4960553b4fcd2893f7f37b506c6759605dc77e0a,1,
39,0x4a599ab94a360f503c59140c7c7a2a4e5fa06d03,1,
40,0x4b0634bc12f8ff07fa1bb40383cb46a34a64f604,1,
41,0x551233f77f641dabd8cd346195c45ba8a722ceb9,1,
42,0x588ba62ac0c382289d8c33a064b13f0ffdf7e41b,1,
43,0x5943b492d1fb454342750a561dfbd0c32515484e,1,
44,0x5fd7ff6ab4358a778c87312d21ac62f98bbc244f,1,
45,0x6c605c0ea8acd035dd4984e062be386596d950a7,1,
46,0x6de5efbf7f74125e62e3b16966429135f1ae1edb,1,
47,0x71eb02b1efe36ccf0dd12406b6023ddfc48fdae7,1,
48,0x79eab624f5f87d0d676c33063d046d4c19ce6bd1,1,
49,0x5c6e1d727784e0862b9a1d5390eee521d84259a2,1,
50,0x08a7735837ad89b6c00adec274ea008541ec5d38,1,
51,0x877a49ab354358f9cf30b97b512f3d7c87ee4ad0,1,
52,0x8af58e52be323cf9c6cc2b43ccc831ce4cb43b08,1,
53,0x0db6492d1ba798cbd06a9b63caaa76839ac37247,1,
54,0x90566088eb96fc930e3fd50a76e93dbfd72135c2,1,
55,0x90a3cb2390955439b8bd3b4517d7bde9d8da7fca,1,
56,0x0f42395478d2c49aca65dff0c1eecdfadb344d47,1,
57,0x0f634b59218fd78aec2c3561f27d3ce7a42de887,1,
58,0x11c4f1c93baec3802d6eb3c94a0d7dcda83aedf9,1,
59,0xac5e1d578fc79e6a2953ccd204ce9157cb71ce89,1,
60,0xaca9c296e85e68642f75da73b42d59d57926ff1d,1,
61,0xad7f6289c4a925ff7e5095bedc5bf3d61e8def8a,1,
62,0x125f0cec694c0234b6506de84d0225f126e6cbeb,1,
63,0xb6bbb13dee3e481f1b8eea36adf3b64d7d5bdc13,1,
64,0xb9f8127ccf5164d8ee25d531bf34bec573b91bbb,1,
65,0xba915860ed4f280f2535684d22d6dc2a239727c5,1,
66,0xbdf9788e6724aa41e0b1f21d28a798af8fe06958,1,
67,0x12842151d19c14a845ca685511c8d93ad2fdc021,1,
68,0xc24a325e01199a7ae47f0e0bc3cdcff653473d5b,1,
69,0xc36303918e322c4c6e7095a04f024bb1473f69f7,1,
70,0x14ef006ca9e82e3a2ab9400cb34dd4fca5f413c9,1,
71,0xc5de7b680aa482b85c5ef2084c7bf08320d723d2,1,
72,0x1856519888fe1448350a3466821a7e85c080f0b4,1,
73,0x2a6c0916b1856a2860757cb57ea6d90ffb206ff3,1,
74,0xcbc7e3d029d3008a6ebad0571a9570c0f21c3b55,1,
75,0xceb0972b42c327b8761012db2392e5d424ff909d,1,
76,0x2a88cff158765d77fba056daa5744657e02f673a,1,
77,0xd470fda4af55fca6ecc7ed7e3897e3887c9e08b1,1,
78,0x2e63b7648e24656822aae202da9cf279b2a16bc4,1,
79,0xd61314ee7b19a48f37b4fd68e7dca8859b9ec180,1,
80,0x35a7f587dd73b33ae6a137ee24384027a1d00ef2,1,
81,0x36d7a3ca23ecd7fef0b28bf0bbd2810c27ad2549,1,
82,0xe6b027826b694f5eade13ec0aabe917152bca4cd,1,
83,0xe93279ab4d8b27807671fdf8760bc9653d209c2e,1,
84,0xc8bb87a3f2816bdbe5af23048682caceddc646f8,1,
85,0x37c7e723bb37271195ed64dbc63eda3f81322ce8,1,
86,0x3e5df3359a9e127d19d9bc8e409b97423307b3f5,1,
87,0xef7bb3c9e27b909f9a95a398acdccf0e7ed5d35d,1,
88,0x3edfc9d116ffe0886ec97d3efeb99eddbe62a155,1,
89,0xf1825d488b7c42f4049183a90419ccc8cb363016,1,
90,0xf1c6b3e861ba830a896123c455691664536e5fd7,1,
91,0xf30376c011ff3365725aeb8e12f6f144db9c04e7,1,
92,0xf678f1b6a01584194d682bb87149c1b51648d6da,1,
93,0xf86e965867555c9095ed87c3c5a6481b344190ad,1,
94,0xfa214817aff3aa50836a12adac3933f534b8c674,1,
95,0xfbab33ea325f6cc2d8a530e06dca3b70764f37f1,1,
96,0xfc555b52e66c48cbcae4b750ed076cedd27b6d7f,1,